Filename,Genus,Species,Name of Training Set ,Data Type,Number of Specimens ,Man PC1,Man PC2,Man PC3,Man PC4,Man PC5,AI PC1,AI PC2,AI PC3,AI PC4,AI PC5
st051_bl1_fo3.tif,Menardella,pertenuis,T0_AI_1_Images,Original,1,-0.032194585,-0.010788008,-0.006069891,-0.015944423,-0.001362794,-0.032626652,-0.009904312,-0.005220061,-0.015929802,-0.001528261
st051_bl1_fo4.tif,Menardella,pertenuis,T0_AI_1_Images,Original,1,-0.03442146,0.012615284,-0.003590305,-0.003155061,0.006888539,-0.037760649,0.008660548,-0.002514574,-0.003826937,0.005925538
st051_bl1_fo5.tif,Menardella,pertenuis,T0_AI_1_Images,Original,1,-0.027604369,-0.018795899,-0.006316749,0.014954438,-0.002716053,-0.035245483,-0.025396817,-0.008034465,0.012203736,0.002386189
st061_bl1_fo2.tif,Menardella,pertenuis,T0_AI_1_Images,Original,1,0.024705656,0.019750549,-0.015479582,0.005299794,0.01955062,0.023383814,0.01862566,-0.015441376,0.005182911,0.01882415
st061_bl1_fo3.tif,Menardella,pertenuis,T0_AI_1_Images,Original,1,0.01631417,0.003404825,0.004092017,-0.019893118,0.006014749,0.016089477,0.003383929,0.004256821,-0.018658807,0.005964436
st061_bl1_fo5.tif,Menardella,pertenuis,T0_AI_1_Images,Original,1,0.004500628,-0.001620028,-0.004584568,0.035653294,0.020053791,0.002028498,-0.002771454,-0.002148303,0.036005838,0.019179321
st062_bl1_fo2.tif,Menardella,exilis,T0_AI_1_Images,Original,1,-0.005197461,-0.044728877,-0.039032409,-0.011985118,0.008188173,-0.006512625,-0.045009344,-0.039435487,-0.011763439,0.0079907
st062_bl1_fo3.tif,Menardella,exilis,T0_AI_1_Images,Original,1,0.017803121,0.001226742,0.020683497,-0.010850338,0.022845408,0.015112815,0.002266493,0.023058613,-0.010919762,0.023424039
st062_bl1_fo5.tif,Menardella,exilis,T0_AI_1_Images,Original,1,0.013939436,-0.01372802,0.021617158,-0.015787263,0.001277945,-0.003531887,-0.01756048,0.025113142,-0.014624303,0.00171045
st049_bl1_fo2.tif,Menardella,limbata,T1_AI_2_Images,Original,2,0.043289233,0.005486646,-0.016799821,-0.002619178,-0.008017167,0.044889192,0.002626485,-0.026299657,0.005089042,-0.006148707
st049_bl1_fo3.tif,Menardella,limbata,T1_AI_2_Images,Original,2,0.022859018,0.01944302,-0.006812406,-0.000891497,0.008566254,0.027154466,0.00728268,-0.013817751,0.003699035,0.006030836
st049_bl1_fo4.tif,Menardella,limbata,T1_AI_2_Images,Original,2,-0.015528318,0.018551074,-0.011186008,0.010516438,-0.030435022,-0.022710889,0.01632168,-0.010716422,0.010942053,-0.02860142
st049_bl2_fo1.tif,Menardella,limbata,T1_AI_2_Images,Original,2,-0.027504167,0.03924355,-0.00386617,-0.001357642,-0.002531884,-0.024123381,0.040455157,-0.004497883,-0.001001293,-0.002907288
st050_bl1_fo1.tif,Menardella,exilis,T1_AI_2_Images,Original,2,0.032320828,-0.005309148,0.000534149,-0.013469877,-0.017033178,0.035109488,-0.004014184,-0.002979859,-0.013101934,-0.016875883
st050_bl1_fo2.tif,Menardella,exilis,T1_AI_2_Images,Original,2,0.029935603,0.006590821,0.008827805,0.001086929,-0.02837814,0.031101662,0.005369642,0.006138047,0.003255619,-0.028210743
st050_bl1_fo3.tif,Menardella,exilis,T1_AI_2_Images,Original,2,0.008683537,-0.016887691,0.035431531,0.017092755,-0.009469478,0.009510239,-0.016990546,0.033857915,0.018149427,-0.009318235
