Filename,Genus,Species,Name of Training Set ,Data Type,Number of Specimens ,Man PC1,Man PC2,Man PC3,Man PC4,Man PC5,AI PC1,AI PC2,AI PC3,AI PC4,AI PC5
st061_bl1_fo2.tif,Menardella,pertenuis,T1_AI_2_Images,Original,2,-0.03256778,-0.007399137,0.016915715,-0.012551398,0.026310515,0.01999531,0.010356474,0.002252044,0.001790759,0.006886734
st061_bl1_fo3.tif,Menardella,pertenuis,T1_AI_2_Images,Original,2,-0.036241242,-0.003280086,0.012558869,0.008426663,0.006988947,0.004159415,0.015269078,-0.006545063,0.000880198,-0.001865733
st061_bl1_fo5.tif,Menardella,pertenuis,T1_AI_2_Images,Original,2,0.00828302,0.001398737,0.034293694,0.024964488,-0.004531753,0.027300338,-0.00491616,0.017873247,0.01944916,-0.002318216
st062_bl1_fo2.tif,Menardella,exilis,T1_AI_2_Images,Original,2,0.002006667,0.017210424,-0.002768128,0.010210712,0.024800899,0.00577735,0.022847237,-0.003085562,0.005620929,0.008114003
st062_bl1_fo3.tif,Menardella,exilis,T1_AI_2_Images,Original,2,-0.030537619,-0.026125055,-0.000972287,-0.002666616,-0.007629119,0.014320529,0.005824604,-0.012023603,0.001111095,-0.009227713
st062_bl1_fo5.tif,Menardella,exilis,T1_AI_2_Images,Original,2,-0.039779112,-0.014134118,-0.005707471,-0.003468543,-0.010648021,-0.008852666,-0.005612252,-0.021098011,-0.010776136,-0.017118989
st049_bl1_fo2.tif,Menardella,limbata,T2_AI_4_Images,Original,4,-0.028514932,0.021547018,-0.000825525,-0.009497057,-0.002194338,-0.014209022,0.027152513,0.003706388,-0.00521222,-0.009788702
st049_bl1_fo3.tif,Menardella,limbata,T2_AI_4_Images,Original,4,0.001732528,-0.022613767,0.00341716,-0.034003456,0.016089834,0.007034754,-0.022134569,0.005494059,-0.032962102,0.014049164
st049_bl1_fo4.tif,Menardella,limbata,T2_AI_4_Images,Original,4,0.007446175,0.002209237,0.019605811,-0.016441132,-0.015328903,0.017630226,0.002290467,0.015003361,-0.018066578,-0.015480101
st049_bl2_fo1.tif,Menardella,limbata,T2_AI_4_Images,Original,4,0.034591464,-0.010427272,0.00343546,-0.022687639,-0.006962261,0.032600529,-0.004129279,-0.003001125,-0.017971196,-0.008878799
st050_bl1_fo1.tif,Menardella,exilis,T2_AI_4_Images,Original,4,-0.048565009,-0.015074848,0.003739381,0.00284963,-0.009116703,-0.030512447,-0.010802596,-0.008130637,-0.001823977,-0.010994799
st050_bl1_fo2.tif,Menardella,exilis,T2_AI_4_Images,Original,4,-0.032681283,0.01717859,0.010537113,-0.002825552,-0.030599,-0.006800653,0.022489629,-0.004237992,-0.005987847,-0.011007131
st050_bl1_fo3.tif,Menardella,exilis,T2_AI_4_Images,Original,4,-0.026320117,-0.002912189,-0.027709413,0.028351929,0.003374332,-0.011021135,0.00084945,-0.031126793,0.025817501,0.001843838
st050_bl1_fo4.tif,Menardella,exilis,T2_AI_4_Images,Original,4,-0.011474843,0.036895087,0.024128699,-0.008777257,0.010697944,-0.00767788,0.035328652,0.022398032,-0.010011221,0.011534115
st050_bl1_fo5.tif,Menardella,exilis,T2_AI_4_Images,Original,4,-0.019733521,0.00461763,-0.022786882,0.000989092,0.010786238,0.022114157,0.00707499,-0.013652638,-0.004000676,0.00287261
st051_bl1_fo1.tif,Menardella,pertenuis,T2_AI_4_Images,Original,4,0.007204467,-0.01779885,0.028967552,0.024664508,0.000798854,0.020619979,-0.019681682,0.024872513,0.020070761,-0.001191851
st051_bl1_fo2.tif,Menardella,pertenuis,T2_AI_4_Images,Original,4,0.028051618,0.003542093,-0.005163975,-0.003093874,-0.007280936,0.032132308,0.004875225,-0.013681965,-0.00077002,-0.000213968
